,Logistic Regression,Decision Tree,Ridge Regression,Linear Regression,k-NN
Sample1,0.8852459016393442,0.9180327868852459,0.8360655737704918,0.819672131147541,0.6557377049180327
Sample2,0.9516129032258065,0.967741935483871,0.9032258064516129,0.9032258064516129,0.7419354838709677
Sample3,0.9016393442622951,0.9508196721311475,0.8852459016393442,0.8852459016393442,0.8032786885245902
Sample4,0.7580645161290323,0.7903225806451613,0.7741935483870968,0.7903225806451613,0.7258064516129032
Sample5,0.9508196721311475,0.9508196721311475,0.9180327868852459,0.9180327868852459,0.7540983606557377
